Tasks_number,Proc_number,Time_work
250,13,17.8711
270,13,20.2476
290,13,20.821
310,13,22.489
330,13,23.8402
350,13,26.3635
370,13,29.1831
390,13,29.9668
410,13,30.4973
430,13,32.499
450,13,32.9214
470,13,34.4289
490,13,36.3636
10,14,0.674817
30,14,2.01514
50,14,3.40193
70,14,4.81339
90,14,6.21226
110,14,7.68165
130,14,9.36246
150,14,10.6586
170,14,12.1752
190,14,13.5079
210,14,17.9718
230,14,16.7527
250,14,17.9548
270,14,19.5327
290,14,26.166
310,14,32.0511
330,14,45.5369
350,14,27.9256
370,14,31.2456
390,14,30.446
410,14,30.9113
430,14,33.3361
450,14,33.0909
470,14,34.6541
490,14,37.2508
10,15,0.679562
30,15,2.02349
50,15,3.59278
70,15,4.8527
90,15,6.22983
110,15,7.75991
130,15,9.16698
150,15,10.5817
170,15,11.973
190,15,13.5723
210,15,16.2394
230,15,16.9007
250,15,18.0182
270,15,19.7034
290,15,21.1461
310,15,23.4798
330,15,23.9505
350,15,25.4783
370,15,27.2049
390,15,31.7916
410,15,32.3778
430,15,32.5901
450,15,34.1627
470,15,34.8746
490,15,36.4014
10,16,0.687388
30,16,2.03655
50,16,3.47533
70,16,4.86385
90,16,6.26464
110,16,8.6545
130,16,9.20788
150,16,10.6703
170,16,12.0408
190,16,13.8882
210,16,15.1557
230,16,16.7252
250,16,18.4916
270,16,19.8272
290,16,21.1982
310,16,22.674
330,16,24.083
350,16,27.0195
370,16,27.3458
390,16,29.0039
410,16,34.3717
430,16,33.3432
450,16,34.0036
470,16,35.9831
490,16,36.6486
10,17,0.689118
30,17,2.06924
50,17,3.47719
70,17,4.90071
90,17,6.30803
110,17,7.77587
130,17,10.0493
150,17,10.9685
170,17,13.3112
190,17,13.8475
210,17,15.3015
230,17,16.7276
250,17,18.2146
270,17,19.8213
290,17,23.1965
310,17,24.5775
330,17,24.8947
350,17,26.7522
370,17,29.876
390,17,29.6014
410,17,31.6564
430,17,34.8233
450,17,34.1291
470,17,35.4907
490,17,38.0042
10,18,0.694087
30,18,2.06572
50,18,3.48657
70,18,5.09749
90,18,6.31935
110,18,7.86058
130,18,9.28434
150,18,10.9866
170,18,12.1711
190,18,13.8992
210,18,15.3304
230,18,16.7666
250,18,18.685
270,18,19.953
290,18,21.349
310,18,22.9713
330,18,27.061
350,18,26.3019
370,18,27.6388
