Tasks_number,Proc_number,Time_work
130,15,10.9984
150,15,12.9574
170,15,15.3173
190,15,17.4699
210,15,18.1428
230,15,20.1674
250,15,21.7489
270,15,24.5559
290,15,25.4118
310,15,27.5403
330,15,30.9028
350,15,33.0928
370,15,33.0333
390,15,34.5492
410,15,36.5516
430,15,39.0282
450,15,44.474
470,15,42.2639
490,15,44.625
10,16,0.818821
30,16,2.44193
50,16,4.34687
70,16,6.51821
90,16,7.6916
110,16,9.31668
130,16,11.0947
150,16,13.3185
170,16,15.1003
190,16,16.3479
210,16,18.467
230,16,21.4223
250,16,23.8042
270,16,26.1315
290,16,26.7859
310,16,27.3897
330,16,29.164
350,16,32.1302
370,16,37.2475
390,16,37.7474
410,16,37.1118
430,16,39.8843
450,16,41.8099
470,16,42.0785
490,16,46.0744
10,17,0.819281
30,17,2.48102
50,17,4.18365
70,17,5.86203
90,17,7.65205
110,17,9.38316
130,17,11.474
150,17,13.9662
170,17,15.7948
190,17,18.0094
210,17,19.87
230,17,21.9152
250,17,23.1593
270,17,23.882
290,17,26.2383
310,17,30.0866
330,17,31.7056
350,17,33.5362
370,17,35.9644
390,17,34.9583
410,17,37.3894
430,17,39.6507
450,17,40.9391
470,17,43.0007
490,17,45.2188
10,18,0.821916
30,18,2.46419
50,18,4.24166
70,18,6.15891
90,18,7.87221
110,18,9.70536
130,18,11.3715
150,18,13.2551
170,18,14.9425
190,18,17.617
210,18,19.8138
230,18,21.9095
250,18,23.8441
270,18,30.16
290,18,27.8189
310,18,30.3573
330,18,32.1253
350,18,34.5336
370,18,42.1082
390,18,38.443
410,18,38.8259
430,18,39.2848
450,18,41.4415
470,18,45.2681
490,18,48.3932
10,19,0.826597
30,19,2.48458
50,19,4.23616
70,19,5.93234
90,19,7.60583
110,19,9.49754
130,19,11.4091
150,19,13.4782
170,19,14.7487
190,19,16.7445
210,19,18.4326
230,19,22.1645
250,19,24.8409
270,19,24.7514
290,19,26.672
310,19,28.9231
330,19,30.4723
350,19,34.1486
370,19,33.8696
390,19,35.9039
410,19,37.3058
430,19,40.3247
450,19,43.4231
470,19,42.9019
490,19,53.3942
